Країна,Обсяг експорту (тис. дол. США)
Австрія,177926.0
Бельгія,109454.0
Болгарія,48178.9
Греція,12226.8
Данія,194540.0
Естонія,202962.3
Ірландія,119439.4
Іспанія,48996.7
Італія,88373.9
Кіпр,408645.6
Латвія,44465.5
Литва,56827.6
Люксембург,27619.3
Мальта,145291.1
Нідерланди,243285.0
Німеччина,630421.5
Польща,440968.6
Португалія,6252.0
Румунія,111836.1
Словакія,52416.3
Словенія,24309.3
Великобританія,635735.2
Угорщина,200808.9
Фінляндія,28208.6
Франція,182911.1
Хорватія,6946.8
Чехія,105891.7
Швеція,106170.8
